C/A,UNIT,STATION,DIVISION,LINENAME,ENTRIES_10_12,EXITS_10_12,ENTRIES_13_16,EXITS_13_16,ENTRIES_17_20,EXITS_17_20,ENTRIES_21_22,EXITS_21_22,OPENED,CLOSED,PRIOR_REMOTES,PRIOR_STATIONS
55,R508,,,,0,0,0,0,,,,,,,,
A002,R051,59 ST,BMT,NQR456W,12564827,7895518,21649706,13026156,14213095,8899547,2883199,2777924,,,,LEXINGTON AVE
A006,R079,5 AV/59 ST,BMT,NQRW,11794711,9515426,17653925,12317816,12178726,8730248,2427387,2614529,,,,"5 AV,5 AVE-59 ST"
A007,R079,5 AV/59 ST,BMT,NQRW,4246120,4205013,6461163,5608551,5192527,3893693,940742,1159559,,,,"5 AV,5 AVE-59 ST"
A010,R080,57 ST-7 AV,BMT,NQRW,14090031,4914333,21950636,7898801,22291381,8131773,3974973,2617516,,,,57 ST-7 AVE
A011,R080,57 ST-7 AV,BMT,NQRW,9631039,9177210,15702431,14976804,15939914,17717818,2572503,5727542,,,,57 ST-7 AVE
A013,R081,49 ST,BMT,NQRW,5471830,7715749,8694016,11458790,7249895,9230600,1364207,2788183,,,,"49 ST-7 AV,49 ST-7 AVE"
A014,R081,49 ST,BMT,NQRW,3956580,4413243,5091282,6199291,3248398,4434515,446962,1005784,,10/12/22 12:00,,"49 ST-7 AV,49 ST-7 AVE"
A015,R081,49 ST,BMT,NQRW,8058644,5235679,12804936,7517846,10397443,5663243,1442925,1523609,,,,"49 ST-7 AV,49 ST-7 AVE"
A016,R081,49 ST,BMT,NQRW,4728695,2582526,7042695,3924801,5896178,3086279,1132027,1091127,,,,"49 ST-7 AV,49 ST-7 AVE"
A021,R032,TIMES SQ-42 ST,BMT,ACENQRS1237W,8791381,14504379,14708293,22668983,15487464,22503647,2582684,6054859,,,,"42 ST - TIMES S,42 ST-TIMES SQ"
A022,R022,34 ST-HERALD SQ,BMT,BDFMNQRW,14847108,9378989,23120431,13043007,18041664,12432158,2638520,3275581,,,,34 STREET
A025,R023,34 ST-HERALD SQ,BMT,BDFMNQRW,22682145,22143942,36664220,32471879,34325153,30030173,6264758,8841072,,,,34 STREET
A027,R082,28 ST,BMT,NRW,4846752,4747544,8715086,7674097,7926272,6734518,1233931,1895147,,,,28 ST-BROADWAY
A029,R082,28 ST,BMT,NRW,4053205,6002003,6933975,9974386,5918160,8686464,874392,2238621,,,,28 ST-BROADWAY
A030,R083,23 ST,BMT,NRW,10984871,5223199,18948812,8296875,15609299,6801666,2318080,1697688,,,,23 ST-5 AVE
A031,R083,23 ST,BMT,NRW,6857769,4692143,11557818,8199945,9559983,7175599,1341459,1837888,,,,23 ST-5 AVE
A033,R170,14 ST-UNION SQ,BMT,LNQR456W,17994498,17087479,27640340,26239957,24495051,23701248,3782129,6133964,,,,
A034,R170,14 ST-UNION SQ,BMT,LNQR456W,20853230,21700471,29680375,32997266,23298301,27722155,4322325,8102549,,,,
A035,R170,14 ST-UNION SQ,BMT,LNQR456W,9173723,10025489,13397607,13827255,9758132,10240765,1659569,2794647,,,,
A037,R170,14 ST-UNION SQ,BMT,LNQR456W,16170157,6992011,24465927,9754433,18900220,6961589,2911859,2301104,,,,
A038,R085,8 ST-NYU,BMT,NRW,11085960,3252197,16686126,4679269,13337479,4216558,2025197,1605069,,,,"8 ST-BROADWAY,8 ST-B'WAY NYU"
A039,R085,8 ST-NYU,BMT,NRW,4279107,8057988,6340379,11682349,5082515,9020589,776526,2474948,,,,"8 ST-BROADWAY,8 ST-B'WAY NYU"
A041,R086,PRINCE ST,BMT,NRW,11182664,4212842,15565502,6332238,11568067,5119408,1814611,1376863,,,,PRINCE ST-B'WAY
A042,R086,PRINCE ST,BMT,NRW,3721057,11078094,5805014,14924509,4335919,10343713,662441,3041459,,,,PRINCE ST-B'WAY
A043,R462,CANAL ST,BMT,JNQRZ6W,12424742,11036191,16965017,14874365,17384758,16253588,3040031,4484285,,,,
A046,R463,CANAL ST,BMT,JNQRZ6W,20602765,18384233,28617966,24528694,22919940,18302130,4330135,5614410,,,,
A047,R087,CITY HALL,BMT,NRW,6810909,3519462,6601256,3689028,6547278,3655035,1154151,900234,,,,MURRAY ST-B'WAY
A049,R088,CORTLANDT ST,BMT,RNW,0,58,2308522,2627591,11594597,8417693,1572739,1603020,11/27/12 15:36,,,
A050,R088,CORTLANDT ST,BMT,RNW,4605563,3108963,7856222,4784566,6686108,2634064,840339,657648,,,,
A052,R088,CORTLANDT ST,BMT,RNW,,,0,0,1810659,3255375,549763,1182297,12/30/17 0:00,,,
A053,R088,CORTLANDT ST,BMT,RNW,,,,,997755,2035154,227689,724372,12/30/17 0:00,,,
A054,R227,RECTOR ST,BMT,NRW,3773800,2043470,4620814,1712558,5028071,1673947,653561,474445,,,,
A055,R227,RECTOR ST,BMT,NRW,2522108,806630,2050829,785600,2074845,681273,354038,220803,,,,
A058,R001,WHITEHALL S-FRY,BMT,R1W,2796148,3144249,3940237,4259457,5149273,5730611,749810,1272529,,,,"WHITEHALL,WHITEHALL ST"
A060,R001,WHITEHALL S-FRY,BMT,R1W,9817178,8421905,12231487,10215979,13784096,12389746,2394344,3013642,,,,"WHITEHALL,WHITEHALL ST"
A061,R142,DELANCEY/ESSEX,BMT,FJMZ,7169626,5038535,12021138,7817854,10320809,7407099,2063032,2772667,,,,ESSEX ST
A064,R311,BOWERY,BMT,JZ,2718046,2772825,4467543,4091619,4465934,3937585,787360,1623312,,,,
A066,R118,CANAL ST,BMT,JNQRZ6W,9708385,5316362,15605171,6615752,13115055,4059070,2333155,1843779,,,,
A069,R044,CHAMBERS ST,BMT,JZ456,5532885,10540901,8021884,15524289,6477662,12006408,1369124,3756593,,,,CHAMBERS STREET
A071,R044,CHAMBERS ST,BMT,JZ456,3710213,1660640,5407655,1442695,4143414,967471,752401,287546,,,,CHAMBERS STREET
A077,R028,FULTON ST,BMT,ACJZ2345,3029494,1569230,4115062,2470970,3117204,2128638,562013,714209,,,R002,FULTON STREET
A081,R028,FULTON ST,BMT,ACJZ2345,1201515,3056979,2196669,5909365,2045596,6208217,411936,2247017,,,R002,FULTON STREET
A082,R028,FULTON ST,BMT,ACJZ2345,1011829,120357,1724866,309192,1442623,180861,165616,34156,,,R002,FULTON STREET
A083,R125,BROAD ST,BMT,JZ,1483000,1394363,2470460,2447650,2861240,2611848,407196,704491,,,,
A084,R125,BROAD ST,BMT,JZ,2547301,64539,4772251,75628,4295614,213143,767792,97385,,,,
A085,R125,BROAD ST,BMT,JZ,22586,109153,0,97,0,114,0,131,,,,
