booth,station,station_name,line_name,division,borough,right_of_way,location,position,access,into,status,tracked_as,details,has_booth,lat,lon
J001,MARCY AV,Marcy Av,JMZ,BMT,Bk,Broadway,Marcy Ave,,S/B,,Open,,,1,40.708548,-73.957873
J001A,MARCY AV,Marcy Av,JMZ,BMT,Bk,Broadway,Havemeyer St,,S/B,,Open,J001,,0,40.708807,-73.958843
J002,MARCY AV,Marcy Av,JMZ,BMT,Bk,Broadway,Marcy Ave,,N/B,,Open,,,0,40.708296,-73.958029
J002A,MARCY AV,Marcy Av,JMZ,BMT,Bk,Broadway,Havemeyer St,,N/B,,Open,J002,,0,40.708689,-73.958924
J003,HEWES ST,Hewes St,JM,BMT,Bk,Broadway,Hooper St,,Mez,,Open,,,1,40.707142,-73.954189
J004,HEWES ST,Hewes St,JM,BMT,Bk,Broadway,Hewes St,,Mez,,Open,J003,,0,40.706580,-73.952548
J005,LORIMER ST,Lorimer St,JM,BMT,Bk,Broadway,Lorimer St,,Mez,,Open,,,1,40.704262,-73.948113
J007,FLUSHING AV,Flushing Av,JM,BMT,Bk,Broadway,Flushing Ave,,Mez,,Open,,,1,40.700741,-73.941927
J008,FLUSHING AV,Flushing Av,JM,BMT,Bk,Broadway,Ellery St,,Mez,,Open,J007,,0,40.699873,-73.940419
J009,MYRTLE AV,Myrtle Av,JMZ,BMT,Bk,Broadway,Myrtle Ave,,Mez,,Open,,,1,40.696952,-73.935556
J010,MYRTLE AV,Myrtle Av,JMZ,BMT,Bk,Broadway,Jefferson St,,Mez,,Closed,,,0,40.697062,-73.935212
J011,KOSCIUSZKO ST,Kosciuszko St,J,BMT,Bk,Broadway,DeKalb Ave,,Mez,,Closed,,,0,40.693729,-73.929500
J012,KOSCIUSZKO ST,Kosciuszko St,J,BMT,Bk,Broadway,Lafayette Ave,,Mez,,Open,,,1,40.693096,-73.928392
J013,GATES AV,Gates Av,JZ,BMT,Bk,Broadway,Quincy St,,Mez,,Open,,,1,40.689956,-73.922854
J014,GATES AV,Gates Av,JZ,BMT,Bk,Broadway,Gates Ave,,Mez,,Closed,,,0,40.689307,-73.921716
J015,HALSEY ST,Halsey St,J,BMT,Bk,Broadway,Hancock St,,Mez,,Closed,,,0,40.686728,-73.917178
J016,HALSEY ST,Halsey St,J,BMT,Bk,Broadway,Halsey St,,Mez,,Open,,,1,40.685995,-73.915899
J017,CHAUNCEY ST,Chauncey St,JZ,BMT,Bk,Broadway,Rockaway Ave,,Mez,,Open,,,1,40.683336,-73.911228
J018,CHAUNCEY ST,Chauncey St,JZ,BMT,Bk,Broadway,Chauncey St,,Mez,,Closed,,,0,40.682549,-73.909838
J019,BROADWAY JCT,Broadway Junction,ACJLZ,BMT,Bk,Broadway,Eastern Pkwy,,Mez,,Closed,,,0,40.679841,-73.905107
J020,ALABAMA AV,Alabama Av,J,BMT,Bk,Fulton St,Alabama Ave,,Mez,,Open,,,1,40.676855,-73.899638
J021,VAN SICLEN AV,Van Siclen Av,JZ,BMT,Bk,Fulton St,Van Siclen Ave,,Mez,,Open,,,1,40.677952,-73.891663
J022,CLEVELAND ST,Cleveland St,J,BMT,Bk,Fulton St,Cleveland St,,Mez,,Open,,,1,40.679613,-73.885709
J023,NORWOOD AV,Norwood Av,JZ,BMT,Bk,Fulton St,Norwood Ave,,Mez,,Open,,,1,40.681709,-73.879127
J024,CRESCENT ST,Crescent St,JZ,BMT,Bk,Fulton St,Crescent St,,Mez,,Open,,,1,40.683490,-73.872754
J025,CYPRESS HILLS,Cypress Hills,J,BMT,Bk,Jamaica Ave,Hemlock St,,Mez,,Open,,,1,40.689685,-73.873157
J026,CYPRESS HILLS,Cypress Hills,J,BMT,Bk,Jamaica Ave,Autumn Ave,,Mez,,Exit-only,J025,"Q/B only, M/B closed",0,40.690269,-73.871754
J027,75 ST-ELDERTS,75 St-Elderts Ln,JZ,BMT,Q,Jamaica Ave,Elderts Ln,,Mez,,Closed,,Mez demolished,0,40.691192,-73.868059
J028,75 ST-ELDERTS,75 St-Elderts Ln,JZ,BMT,Q,Jamaica Ave,75th St,,Mez,,Open,,,1,40.691432,-73.866465
J029,85 ST-FOREST PK,85 St-Forest Pkwy,J,BMT,Q,Jamaica Ave,Forest Pkwy,,Mez,,Closed,,,0,40.692311,-73.860886
J030,85 ST-FOREST PK,85 St-Forest Pkwy,J,BMT,Q,Jamaica Ave,85th St,,Mez,,Open,,,1,40.692523,-73.859087
J031,WOODHAVEN BLVD,Woodhaven Blvd,JZ,BMT,Q,Jamaica Ave,Woodhaven Blvd,,Mez,,Open,,,1,40.693575,-73.852431
J032,WOODHAVEN BLVD,Woodhaven Blvd,JZ,BMT,Q,Jamaica Ave,85th St,,Mez,,Open,,,0,40.694192,-73.850670
J033,104 ST,104 St,JZ,BMT,Q,Jamaica Ave,102nd St,,Mez,,Closed,,Mez demolished,0,40.695178,-73.845169
J034,104 ST,104 St,JZ,BMT,Q,Jamaica Ave,104th St,,Mez,,Open,,,1,40.695198,-73.843425
J035,111 ST,111 St,J,BMT,Q,Jamaica Ave,111th St,,Mez,,Open,,,1,40.696954,-73.837049
J036,111 ST,111 St,J,BMT,Q,Jamaica Ave,113th St,,Mez,,Closed,,,0,40.697856,-73.835630
J037,121 ST,121 St,JZ,BMT,Q,Jamaica Ave,121st St,,Mez,,Open,,,1,40.700372,-73.829107
J038,121 ST,121 St,JZ,BMT,Q,Jamaica Ave,123rd St,,Mez,,Open,J037,,0,40.700654,-73.827465
K017,CENTRAL AV,Central Av,M,BMT,Bk,Myrtle Ave,Cedar St,,Mez,,Open,,,1,40.697951,-73.926486
K019,KNICKERBOCKER,Knickerbocker Av,M,BMT,Bk,Myrtle Ave,Greene Ave,,Mez,,Open,,,1,40.698763,-73.918867
K022,SENECA AVE,Seneca Av,M,BMT,Q,Palmetto St,Seneca Ave,,Mez,,Open,,,1,40.702825,-73.907707
K023,FOREST AVE,Forest Av,M,BMT,Q,Myrtle Ave Line (Madison St),Woodward Ave,,Mez,,Closed,,,0,40.704198,-73.903918
K024,FOREST AVE,Forest Av,M,BMT,Q,Myrtle Ave Line (Putnam Ave),Putnam Ave,,Mez,,Open,,,1,40.704599,-73.902330
K025,FRESH POND RD,Fresh Pond Rd,M,BMT,Q,Myrtle Ave Line (Putnam-67th Aves),Fresh Pond Rd,,Mez,,Open,,,1,40.706158,-73.896213
K026,METROPOLITAN AV,Middle Village-Metropolitan Av,M,BMT,Q,Myrtle Ave Line,Metropolitan Ave,,Mez,,Open,,,1,40.712143,-73.889257
N001,INWOOD-207 ST,Inwood-207 St,A,IND,M,Broadway,W 211th St,,Mez,,Open,,,0,40.868152,-73.919605
N002,INWOOD-207 ST,Inwood-207 St,A,IND,M,Broadway,W 207th-W 211th Sts,,Mez,,Closed,,"Mez closed, no stairs closed",0,40.867931,-73.920475
N002A,INWOOD-207 ST,Inwood-207 St,A,IND,M,Broadway,W 207th St,,Mez,,Open,,,1,40.867655,-73.921316
N003,DYCKMAN ST,Dyckman St,A,IND,M,Broadway,Dyckman St,,S/B,,Open,,,1,40.865560,-73.927354
N004,DYCKMAN ST,Dyckman St,A,IND,M,Broadway,Dyckman St,,N/B,,Exit-only,N003,,0,40.865414,-73.927208
N005,190 ST,190 St,A,IND,M,Fort Washington Ave,Bennett Ave,,Mez,,Closed,,Paid area changed to free,0,40.858918,-73.932715
N006,190 ST,190 St,A,IND,M,Fort Washington Ave,Cabrini Blvd,,Mez,,Closed,,Paid area changed to free,0,40.859027,-73.933973
N006A,190 ST,190 St,A,IND,M,Fort Washington Ave,W 193rd St,,Mez,,Open,,,1,40.859214,-73.934054
N007,181 ST,181 St,A,IND,M,Fort Washington Ave,Overlook Terrace,,Mez,,Closed,,Paid area changed to free,0,40.852773,-73.936667
N007A,181 ST,181 St,A,IND,M,Fort Washington Ave,W 184th St,,Mez,,Open,,,1,40.852904,-73.937384
N008,181 ST,181 St,A,IND,M,Fort Washington Ave,Fort Washington Ave,,Mez,,Closed,,Paid area changed to free,0,40.852867,-73.937334
N009,181 ST,181 St,A,IND,M,Fort Washington Ave,W 181st St,,Mez,,Open,,,0,40.850830,-73.938329
N010,175 ST,175 St,A,IND,M,Fort Washington Ave,W 177th St,,Mez,,Open,,,1,40.847833,-73.939533
N011,175 ST,175 St,A,IND,M,Fort Washington Ave,W 175th St,,Mez,,Open,,,0,40.846457,-73.940064
N012,168 ST,168 St,AC1,IND,M,St Nicholas Ave,W 169th St,,Mez,,Open,,,0,40.841675,-73.939305
N013,168 ST,168 St,AC1,IND,M,St Nicholas Ave,W 168th St,,Mez,,Open,,,1,40.840850,-73.939447
N014,168 ST,168 St,AC1,IND,M,St Nicholas Ave,W 167th St,,Mez,,Closed,,,0,40.840346,-73.939675
N015,163 ST-AMSTERDM,163 St-Amsterdam Av,C,IND,M,St Nicholas Ave,Amsterdam Ave,,Mez,,Closed,,,0,40.836102,-73.939962
N016A,163 ST-AMSTERDM,163 St-Amsterdam Av,C,IND,M,St Nicholas Ave,W 161st St,,Mez,,Open,,,1,40.835385,-73.939801
N017,155 ST,155 St,C,IND,M,St Nicholas Ave,W 155th St,,Mez,,Open,,,1,40.830889,-73.941380
N018,155 ST,155 St,C,IND,M,St Nicholas Ave,W 153rd St,,Mez,,Closed,,,0,40.829453,-73.941952
N019,145 ST,145 St,ABCD,IND,M,St Nicholas Ave,W 147th St,,Mez,,Open,,,0,40.825579,-73.943657
N020,145 ST,145 St,ABCD,IND,M,St Nicholas Ave,W 145th St,,Mez,,Open,,,1,40.824020,-73.944773
N021,135 ST,135 St,BC,IND,M,St Nicholas Ave,W 137th St,,N/B,,Open,N023,HEET,0,40.818424,-73.947271
N022,135 ST,135 St,BC,IND,M,St Nicholas Ave,W 137th St,,S/B,,Open,,,0,40.818363,-73.947628
N023,135 ST,135 St,BC,IND,M,St Nicholas Ave,W 135th St,,N/B,,Open,,,0,40.817078,-73.947894
N024,135 ST,135 St,BC,IND,M,St Nicholas Ave,W 135th St,,S/B,,Open,,,1,40.817293,-73.948167
N025,125 ST,125 St,ACBD,IND,M,St Nicholas Ave,W 127th St,,Mez,,Open,,,0,40.811912,-73.951646
N026,125 ST,125 St,ACBD,IND,M,St Nicholas Ave,W 125th St,,Mez,,Open,,,1,40.810731,-73.952641
N027,116 ST,116 St,BC,IND,M,Frederick Douglass Blvd,W 118th St,,N/B,,Closed,,,0,40.805695,-73.954316
N028,116 ST,116 St,BC,IND,M,Frederick Douglass Blvd,W 118th St,,S/B,,Closed,,,0,40.805784,-73.954525
N029,116 ST,116 St,BC,IND,M,Frederick Douglass Blvd,W 116th St,,N/B,,Open,,,0,40.804359,-73.955177
N030,116 ST,116 St,BC,IND,M,Frederick Douglass Blvd,W 116th St,,S/B,,Open,,,1,40.804497,-73.955528
N031,CATHEDRAL PKWY,Cathedral Pkwy (110 St),BC,IND,M,Frederick Douglass Blvd,W 111th St,,N/B,,Closed,,,0,40.801197,-73.957593
N032,CATHEDRAL PKWY,Cathedral Pkwy (110 St),BC,IND,M,Frederick Douglass Blvd,W 111th St,,S/B,,Closed,,,0,40.801292,-73.957797
N033,CATHEDRAL PKWY,Cathedral Pkwy (110 St),BC,IND,M,Frederick Douglass Blvd,W 110th St,,N/B,,Closed,,,0,40.800767,-73.957888
N034,CATHEDRAL PKWY,Cathedral Pkwy (110 St),BC,IND,M,Frederick Douglass Blvd,W 110th St,,S/B,,Open,,,0,40.800872,-73.958113
N035,CATHEDRAL PKWY,Cathedral Pkwy (110 St),BC,IND,M,Central Park West,W 109th St,,Mez,,Open,,,1,40.799932,-73.958660
N036,103 ST,103 St,BC,IND,M,Central Park West,W 104th St,,Mez,,Closed,,,0,40.796809,-73.961126
N037,103 ST,103 St,BC,IND,M,Central Park West,W 103rd St,,Mez,,Open,,,1,40.796168,-73.961562
N038,103 ST,103 St,BC,IND,M,Central Park West,W 102nd St,,Mez,,Closed,,,0,40.795538,-73.962000
N039,96 ST,96 St,BC,IND,M,Central Park West,W 97th St,,Mez,,Open,,,0,40.792439,-73.964321
N040,96 ST,96 St,BC,IND,M,Central Park West,W 96th St,,Mez,,Open,,,1,40.791712,-73.964863
N041,96 ST,96 St,BC,IND,M,Central Park West,W 95th St,,Mez,,Closed,,,0,40.791051,-73.965302
N042,86 ST,86 St,BC,IND,M,Central Park West,W 88th St,,Mez,,Open,N043,HEET,0,40.786586,-73.968522
N043,86 ST,86 St,BC,IND,M,Central Park West,W 86th St,,Mez,,Open,,,1,40.785370,-73.969462
N044,81 ST-MUSEUM,81 St-Museum of Natural History,BC,IND,M,Central Park West,W 81st St,,Mez,,Open,,,1,40.782098,-73.971823
N045,81 ST-MUSEUM,81 St-Museum of Natural History,BC,IND,M,Central Park West,W 78th St,,Mez,,Open,,,,40.780840,-73.972769
N046,72 ST,72 St,BC,IND,M,Central Park West,W 72nd St,,Mez,,Open,,,1,40.776265,-73.976066
N046A,72 ST,72 St,BC,IND,M,Central Park West,W 71st St,,Mez,,Closed,,,0,40.775600,-73.976573
N047,72 ST,72 St,BC,IND,M,Central Park West,W 70th St,,Mez,,Open,N046,HEET,0,40.775107,-73.976896
N048,59 ST COLUMBUS,59 St-Columbus Circle,ABCD1,IND,M,Central Park West,W 61st St,,Mez,,Closed,,,0,40.769309,-73.981064
N049,59 ST COLUMBUS,59 St-Columbus Circle,ABCD1,IND,M,Central Park West,W 60th St,,Mez,,Open,,,1,40.768654,-73.981627
N049A,59 ST COLUMBUS,59 St-Columbus Circle,ABCD1,IND,M,Central Park West,W 60th St,N/S,Mez,,Open,N049,HEET,0,40.768744,-73.981399
N051,59 ST COLUMBUS,59 St-Columbus Circle,ABCD1,IND,M,8th Ave,W 58th St,,Mez,,Open,,,1,40.767630,-73.982196
N052,50 ST,50 St,CE,IND,M,8th Ave,W 52nd St,,N/B,,Closed,,,0,40.763439,-73.985114
N053,50 ST,50 St,CE,IND,M,8th Ave,W 52nd St,,S/B,,Closed,,,0,40.763544,-73.985387
N054,50 ST,50 St,CE,IND,M,8th Ave,W 51st St,,N/B,,Open,N056,HEET,0,40.762866,-73.985532
N055,50 ST,50 St,CE,IND,M,8th Ave,W 51st St,,S/B,,Closed,,,0,40.762988,-73.985795
N056,50 ST,50 St,CE,IND,M,8th Ave,W 50th St,,N/B,,Open,,,0,40.762225,-73.985996
N057,50 ST,50 St,CE,IND,M,8th Ave,W 50th St,,S/B,,Open,,,1,40.762030,-73.986485
N060,42 ST-PORT AUTH,42 St-Port Authority Bus Terminal,ACENGRS1237W,IND,M,8th Ave,W 44th St,,Mez,,Open,,,0,40.758427,-73.988925
N062,42 ST-PORT AUTH,42 St-Port Authority Bus Terminal,ACENQRS1237W,IND,M,8th Ave,W 41st St,,Mez,Port Authority Bus Terminal,Open,,,0,40.757884,-73.989434
N062A,42 ST-PORT AUTH,42 St-Port Authority Bus Terminal,ACENQRS1237W,IND,M,8th Ave,W 42nd St,,Mez,,Open,,,1,40.757368,-73.989596
N063,42 ST-PORT AUTH,42 St-Port Authority Bus Terminal,ACENQRS1237W,IND,M,8th Ave,W 40th St,,Mez,,Open,,,0,40.756132,-73.990588
N063A,42 ST-PORT AUTH,42 St-Port Authority Bus Terminal,ACENQRS1237W,IND,M,8th Ave,W 40th St,N/S,Mez,,Open,,,1,40.756194,-73.990450
N064,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,8th Ave,W 35th St,,Mez,,Closed,,,0,40.752801,-73.993032
N065,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,8th Ave,W 34th St,,Mez,,Closed,,Free area changed to paid,0,40.752198,-73.993465
N067,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,8th Ave,W 33rd St,,Mez,Penn Station,Open,,,0,40.751574,-73.993913
N067A,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,,,,,,Closed,,,0,,
N068,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,8th Ave,W 35th St,,N/B,,Open,,,,40.752795,-73.992771
N069,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,8th Ave,W 35th St,,S/B,,Open,,,0,40.752960,-73.993165
N070,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,8th Ave,W 34th St,,N/B,,Open,,,1,40.752112,-73.993251
N071,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,8th Ave,W 34th St,,S/B,,Open,,,0,40.752277,-73.993648
N072,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,8th Ave,W 33rd St,,N/B,,Open,,,1,40.751427,-73.993801
N073,34 ST-PENN STA,34 St-Penn Station,ACE,IND,M,8th Ave,W 33rd St,,S/B,,Open,,,1,40.751553,-73.994126
N074,23 ST,23 St,CE,IND,M,8th Ave,W 25th St,,N/B,,Open,N076,HEET,0,40.746502,-73.997366
N075,23 ST,23 St,CE,IND,M,8th Ave,W 25th St,,S/B,,Open,,,0,40.746673,-73.997755
N076,23 ST,23 St,CE,IND,M,8th Ave,W 23rd St,,N/B,,Open,,,1,40.745242,-73.998318
N077,23 ST,23 St,CE,IND,M,8th Ave,W 23rd St,,S/B,,Open,,,0,40.745374,-73.998653
N078,14 ST,14 St,ACEL,IND,M,8th Ave,W 16th St,,Mez,,Open,,,1,40.741125,-74.001525
N079,14 ST,14 St,ACEL,IND,M,8th Ave,W 15th St,,Mez,,Open,H001,,0,40.740447,-74.002012
N080,W 4 ST-WASH SQ,W 4 St-Wash Sq,ABCDEFM,IND,M,6th Ave,Waverly Pl,,N/B,,Open,,,0,40.733045,-73.999834
N081,W 4 ST-WASH SQ,W 4 St-Wash Sq,ABCDEFM,IND,M,6th Ave,Waverly Pl,,S/B,,Open,N080,,0,40.733134,-74.000072
N083,W 4 ST-WASH SQ,W 4 St-Wash Sq,ABCDEFM,IND,M,6th Ave,W 3rd St,,Mez,,Open,,,1,40.731129,-74.001358
N084,SPRING ST,Spring St,CE,IND,M,6th Ave,Prince St,,N/B,,Closed,,,0,40.726930,-74.003306
N085,SPRING ST,Spring St,CE,IND,M,6th Ave,Charlton St,,S/B,,Closed,,,0,40.726979,-74.003607
N086,SPRING ST,Spring St,CE,IND,M,6th Ave,Spring St,,N/B,,Open,,,1,40.725614,-74.003877
N087,SPRING ST,Spring St,CE,IND,M,6th Ave,Spring St,,S/B,,Open,,,0,40.725635,-74.004102
N087A,SPRING ST,Spring St,CE,IND,M,6th Ave,Vandam St,,S/B,,Open,N087,HEET,0,40.726275,-74.003865
N088,CANAL ST,Canal St,ACE,IND,M,6th Ave,Canal St,,Mez,,Open,N089,Adjacent C/A,0,40.721576,-74.005296
N089,CANAL ST,Canal St,ACE,IND,M,6th Ave,W Broadway,,Mez,,Open,,,1,40.720837,-74.005221
N090,CANAL ST,Canal St,ACE,IND,M,6th Ave,Walker St,,Mez,,Open,,,0,40.719954,-74.005178
N091,CHAMBERS ST,Chambers St,ACE23,IND,M,Church St,Chambers St,,Mez,,Open,,,,40.714888,-74.007965
N092,CHAMBERS ST,Chambers St,ACE23,IND,M,Church St,Park Pl,,Mez,,Open,,,1,40.713356,-74.009143
N094,WORLD TRADE CTR,World Trade Center,ACE23,IND,M,Church St,Vesey St,,Mez,,Open,,,1,40.711680,-74.010336
N095,FULTON ST,Fulton St,ACJZ2345,IND,M,Fulton St,Broadway,,Mez,Fulton Center,Open,,,1,40.710636,-74.008967
N095A,FULTON ST,Fulton St,2345ACJZ,IND,M,Fulton St,Broadway,,Mez,Dey St Passageway,Open,,,0,40.710425,-74.009135
N098,FULTON ST,Fulton St,2345ACJZ,IND,M,Fulton St,William St,,Mez,,Open,,,1,40.709546,-74.006644
N100,HIGH ST,High St,AC,IND,Bk,High St,Cadman Plaza W,,Mez,,Open,,,1,40.699437,-73.991263
N101,HIGH ST,High St,AC,IND,Bk,High St,Brooklyn Bridge Blvd,,Mez,,Open,,,0,40.699315,-73.989058
N102,JAY ST-METROTEC,Jay St-MetroTech,ACF,IND,Bk,Jay St,Myrtle Ave,,Mez,,Open,,,0,40.693401,-73.987229
N103,JAY ST-METROTEC,Jay St-MetroTech,ACF,IND,Bk,Jay St,Willoughby St,,Mez,,Open,,,1,40.692242,-73.987414
N103A,JAY ST-METROTEC,Jay St-MetroTech,ACF,IND,Bk,Jay St,Fulton St,,Mez,,Open,N103,,0,40.691725,-73.987348
N108,HOYT-SCHER,Hoyt-Schermerhorn Sts,ACG,IND,Bk,Schermerhorn St,Hoyt-Bond Sts,,Mez,,Open,,,1,40.688543,-73.984885
N110,LAFAYETTE AV,Lafayette Av,C,IND,Bk,Fulton St,S Oxford St,,Mez,,Open,,,1,40.686058,-73.973789
N111,CLINTON-WASH AV,Clinton-Washington Avs,C,IND,Bk,Fulton St,Clinton Ave,,N/B,,Open,,,1,40.683625,-73.966928
N111A,CLINTON-WASH AV,Clinton-Washington Avs,C,IND,Bk,Fulton St,Washington Ave,,N/B,,Open,N111,HEET,0,40.683145,-73.964814
N112,CLINTON-WASH AV,Clinton-Washington Avs,C,IND,Bk,Fulton St,Clinton Ave,,S/B,,Open,N112A,HEET,0,40.683312,-73.966847
N112A,CLINTON-WASH AV,Clinton-Washington Avs,C,IND,Bk,Fulton St,Washington Ave,,S/B,,Open,,,0,40.682913,-73.964760
N113,FRANKLIN AV,Franklin Av,ACS,IND,Bk,Fulton St,Franklin Ave,,N/B,,Open,,,0,40.681276,-73.955683
N113A,FRANKLIN AV,Franklin Av,ACS,IND,Bk,Fulton St,Classon Ave,,N/B,,Closed,,,0,40.681743,-73.958191
N114,FRANKLIN AV,Franklin Av,ACS,IND,Bk,Fulton St,Franklin Ave,,S/B,,Open,,,1,40.681006,-73.955895
N114A,FRANKLIN AV,Franklin Av,ACS,IND,Bk,Fulton St,Classon Ave,,S/B,,Closed,,,0,40.681597,-73.958119
N115,NOSTRAND AV,Nostrand Av,AC,IND,Bk,Fulton St,Bedford Ave,,Mez,,Open,N116,,0,40.680562,-73.952559
N116,NOSTRAND AV,Nostrand Av,AC,IND,Bk,Fulton St,Nostrand Ave,,N/B,,Open,,,1,40.680530,-73.949602
N117,NOSTRAND AV,Nostrand Av,AC,IND,Bk,Fulton St,Nostrand Ave,,S/B,,Open,,,0,40.680249,-73.949532
N118,KINGSTON-THROOP,Kingston-Throop Avs,C,IND,Bk,Fulton St,Kingston Ave,,S/B,,Open,,,0,40.679800,-73.941219
N119,KINGSTON-THROOP,Kingston-Throop Avs,C,IND,Bk,Fulton St,Throop Ave,,N/B,,Open,,,1,40.680024,-73.940356
N120,UTICA AV,Utica Av,AC,IND,Bk,Fulton St,Utica Ave,,Mez,,Open,,,1,40.679317,-73.929823
N120A,UTICA AV,Utica Av,AC,IND,Bk,Fulton St,Stuyvesant Ave,,Mez,,Open,,,0,40.679423,-73.931975
N121B,RALPH AV,Ralph Av,C,IND,Bk,Fulton St,Ralph Ave,,Mez,,Open,,,1,40.678841,-73.921089
N121C,RALPH AV,Ralph Av,C,IND,Bk,Fulton St,Howard Ave,,Mez,,Closed,,,0,40.678782,-73.919918
N122,ROCKAWAY AV,Rockaway Av,C,IND,Bk,Fulton St,Thomad S Boyland St,,Mez,,Open,,,1,40.678432,-73.913568
N123A,ROCKAWAY AV,Rockaway Av,C,IND,Bk,Fulton St,Rockaway Ave,,S/B,,Exit-only,N123B,,0,40.678182,-73.910759
N123B,ROCKAWAY AV,Rockaway Av,C,IND,Bk,Fulton St,Rockaway Ave,,N/B,,Open,,,0,40.678371,-73.910837
N124,BROADWAY JCT,Broadway Junction,ACJLZ,IND,Bk,Fulton St,Van Sinderen Ave,,Mez,,Open,,,1,40.678216,-73.903970
N125,LIBERTY AV,Liberty Av,C,IND,Bk,Pennsylvania Ave,Liberty Ave,,Mez,,Open,,,1,40.674408,-73.896513
N126,VAN SICLEN AVE,Van Siclen Av,C,IND,Bk,Pitkin Ave,Van Siclen Ave,,Mez,,Open,,,1,40.672714,-73.890326
N127,SHEPHERD AV,Shepherd Av,C,IND,Bk,Pitkin Ave,Shepherd Ave,,Mez,,Open,,,1,40.674129,-73.880805
N128,EUCLID AV,Euclid Av,AC,IND,Bk,Pitkin Ave,Euclid Ave,,Mez,,Open,,,1,40.675411,-73.871917
N129,GRANT AV,Grant Av,A,IND,Bk,Fulton St Line (Pitkin-Glenmore Aves),Grant Ave,,Mez,,Open,,,1,40.676870,-73.865344
N130,80 ST,80 St,A,IND,Q,Liberty Ave,77th St,,Mez,,Open,,,0,40.679313,-73.860100
N131,80 ST,80 St,A,IND,Q,Liberty Ave,80th St,,Mez,,Open,,,1,40.679443,-73.857971
N132,88 ST,88 St,A,IND,Q,Liberty Ave,86th St,,Mez,,Closed,,,0,40.679790,-73.852504
N133,88 ST,88 St,A,IND,Q,Liberty Ave,88th St,,Mez,,Open,,,1,40.679901,-73.850731
N134,ROCKAWAY BLVD,Rockaway Blvd,A,IND,Q,Liberty Ave,94th St,,Mez,,Open,,,1,40.680270,-73.844922
N135,ROCKAWAY BLVD,Rockaway Blvd,A,IND,Q,Liberty Ave,96th St,,Mez,,Open,,,0,40.680636,-73.842975
N136,104 ST,104 St,A,IND,Q,Liberty Ave,102nd St,,Mez,,Open,N137,,0,40.681458,-73.838654
N137,104 ST,104 St,A,IND,Q,Liberty Ave,104th St,,Mez,,Open,,,1,40.681997,-73.836982
N138,111 ST,111 St,A,IND,Q,Liberty Ave,109th St,,Mez,,Open,,,0,40.684097,-73.832792
N139,111 ST,111 St,A,IND,Q,Liberty Ave,111th St,,Mez,,Open,,,1,40.684747,-73.831121
N141,OZONE PK LEFFRT,Ozone Park-Lefferts Blvd,A,IND,Q,Liberty Ave,Lefferts Blvd,,Mez,,Open,,,1,40.686134,-73.824467
N181,AQUEDUCT N.COND,Aqueduct-N Conduit Av,A,IND,Q,Rockaway Beach Branch (Aqueduct Rd),N Conduit Ave,,Mez,,Closed,,Temporary closure,1,40.667025,-73.833471
N181A,AQUEDUCT RACETR,Aqueduct Racetrack,A,IND,Q,Rockaway Beach Branch (Aqueduct Rd),Pitkin Ave,,N/B,,Open,,,0,40.672233,-73.835724
N182,HOWARD BCH JFK,Howard Beach-JFK Airport,A,IND,Q,,,,,,Open,,,,,
N182A,HOWARD BCH JFK,Howard Beach-JFK Airport,A,IND,Q,,,,,,Closed,,Pre-2010 closure,0,,
N183,BROAD CHANNEL,Broad Channel,AS,IND,Q,Rockaway Beach Branch (West Rd),Noel Rd,,Mez,,Closed,,Temporary closure,1,40.608010,-73.815874
N184,BEACH 90 ST,Beach 90 St,AS,IND,Q,Rockaway Fwy,Beach 90th St,,Mez,,Open,,,1,40.587930,-73.814021
N185,BEACH 98 ST,Beach 98 St,AS,IND,Q,Rockaway Fwy,Beach 98th St,,Mez,,Open,,,1,40.585466,-73.820341
N186,BEACH 105 ST,Beach 105 St,AS,IND,Q,Rockaway Fwy,Beach 105th St,,Mez,,Open,,,1,40.583309,-73.827324
N187,ROCKAWAY PARK B,Rockaway Park-Beach 116 St,AS,IND,Q,Rockaway Fwy,Beach 116th St,,Mez,,Open,,,1,40.580584,-73.837280
N191,BEACH 67 ST,Beach 67 St,A,IND,Q,Rockaway Fwy,Beach 67th St,,Mez,,Open,,,1,40.590964,-73.796322
N192,BEACH 60 ST,Beach 60 St,A,IND,Q,Rockaway Fwy,Beach 59th St,,Mez,,Open,,,1,40.592432,-73.789296
N193,BEACH 44 ST,Beach 44 St,A,IND,Q,Rockaway Fwy,Beach 44th St,,Mez,,Open,,,1,40.592958,-73.775943
N194,BEACH 36 ST,Beach 36 St,A,IND,Q,Rockaway Fwy,Beach 36th St,,Mez,,Open,,,1,40.595506,-73.768159
N195,BEACH 25 ST,Beach 25 St,A,IND,Q,Rockaway Fwy,Beach 25th St,,Mez,,Open,,,1,40.599666,-73.761673
