booth,station,station_name,line_name,division,borough,right_of_way,location,position,access,into,status,tracked_as,details,has_booth,lat,lon
A061,DELANCEY/ESSEX,Delancey St-Essex St,FJMZ,BMT,M,Delancey St,Norfolk St,,S/B,,Open,,,1,40.718433,-73.987433
A064,BOWERY,Bowery,JZ,BMT,M,Delancey St,Bowery,E/S,Mez,,Open,,,1,40.720179,-73.993520
A065,BOWERY,Bowery,JZ,BMT,M,Delancey St,Bowery,W/S,Mez,,Closed,,,0,40.720493,-73.994429
A066,CANAL ST,Canal St,JNQRZ6W,BMT,M,Centre St,Canal St,SW cnr,Mez,,Open,,,0,40.717853,-74.000332
A068,CANAL ST,Canal St,JNQRZ6W,BMT,M,Centre St,Canal St,,N/B,,Closed,,,0,40.717816,-73.999939
A069,CHAMBERS ST,Chambers St,JZ456,BMT,M,Centre St,Chambers St,,Mez,,Open,,,0,40.712754,-74.004045
A071,CHAMBERS ST,Chambers St,JZ456,BMT,M,Centre St,Duane St,,Mez,,Open,,,0,40.713941,-74.003157
A076,FULTON ST,Fulton St,ACJZ2345,BMT,M,Nassau St,Ann St,,Mez,,Closed,,,0,40.710581,-74.007394
A077,FULTON ST,Fulton St,ACJZ2345,BMT,M,Nassau St,Fulton St,,N/B,,Open,,,0,40.710321,-74.007941
A078,FULTON ST,Fulton St,ACJZ2345,BMT,M,Nassau St,John St,,N/B,,Closed,,,0,40.709587,-74.008491
A079,FULTON ST,Fulton St,ACJZ2345,BMT,M,Nassau St,Beekman St,,N/B,,Closed,,,0,40.711049,-74.006729
A081,FULTON ST,Fulton St,ACJZ2345,BMT,M,Nassau St,Fulton St,,S/B,,Open,,,0,40.710149,-74.007598
A082,FULTON ST,Fulton St,ACJZ2345,BMT,M,Nassau St,John St,,S/B,,Open,,,0,40.709516,-74.008408
A083,BROAD ST,Broad St,JZ,BMT,M,Broad St,Wall St,,Mez,,Open,,,1,40.707018,-74.010754
A084,BROAD ST,Broad St,JZ,BMT,M,Broad St,Exchange Pl,,S/B,,Open,,,0,40.705802,-74.011540
A085,BROAD ST,Broad St,JZ,BMT,M,Broad St,Exchange Pl,,N/B,,Open,,,0,40.705824,-74.011261
B001,ATLANTIC AVE,Atlantic Av-Barclays Ctr,BDNQR2345,BMT,Bk,St Felix St,Hansen Pl,,Mez,,Open,R610,,0,40.685000,-73.977242
B002,ATLANTIC AVE,Atlantic Av-Barclays Ctr,BDNQR2345,BMT,Bk,St Felix St,Atlantic Terminal,,Mez,LIRR Atlantic Terminal,Open,R610,,0,40.684484,-73.976983
B004,7 AV,7 Av,BQ,BMT,Bk,Flatbush Ave,"Park Pl, Carlton Ave",,Mez,,Open,,,1,40.677387,-73.972611
B005,7 AV,7 Av,BQ,BMT,Bk,Flatbush Ave,Sterling Pl,,Mez,,Closed,,,0,40.676677,-73.972089
B008,DEAN ST,Dean St,S,BMT,Bk,Franklin Ave Line,Dean St,,Mez,,Closed,,Station demolished,0,40.677882,-73.956515
B009,PARK PLACE,Park Pl,S,BMT,Bk,Franklin Ave Line,Park Pl,,Mez,,Open,,,1,40.674703,-73.957879
B010,BOTANIC GARDEN,Botanic Garden,S2345,BMT,Bk,Franklin Ave Line,Eastern Pkwy,,Mez,,Open,,,1,40.670564,-73.959175
