booth,station_id,station_id_2,station_id_3,complex_id,stop_name,complex_name
N010,147,,,147,175 St,
N011,147,,,147,175 St,
N012,148,,,605,168 St,168 St - Washington Hts
N013,148,,,605,168 St,168 St - Washington Hts
N014,148,,,605,168 St,168 St - Washington Hts
N015,149,,,149,163 St-Amsterdam Av,
N016A,149,,,149,163 St-Amsterdam Av,
N017,150,,,150,155 St,
N018,150,,,150,155 St,
N019,151,,,151,145 St,
N020,151,,,151,145 St,
N021,152,,,152,135 St,
N022,152,,,152,135 St,
N023,152,,,152,135 St,
N024,152,,,152,135 St,
N025,153,,,153,125 St,
N026,153,,,153,125 St,
N029,154,,,154,116 St,
N030,154,,,154,116 St,
N031,155,,,155,Cathedral Pkwy (110 St),
N034,155,,,155,Cathedral Pkwy (110 St),
N035,155,,,155,Cathedral Pkwy (110 St),
N037,156,,,156,103 St,
N039,157,,,157,96 St,
N040,157,,,157,96 St,
N042,158,,,158,86 St,
N043,158,,,158,86 St,
N044,159,,,159,81 St-Museum of Natural History,
N045,159,,,159,81 St-Museum of Natural History,
N046,160,,,160,72 St,
N047,160,,,160,72 St,
N048,161,,,614,59 St-Columbus Circle,59 St - Columbus Circle
N049,161,315,,614,59 St-Columbus Circle,59 St - Columbus Circle
N051,161,315,,614,59 St-Columbus Circle,59 St - Columbus Circle
N052,162,,,162,50 St,
N053,162,,,162,50 St,
N054,162,,,162,50 St,
N055,162,,,162,50 St,
N056,162,,,162,50 St,
N057,162,,,162,50 St,
N060,163,,,611,42 St-Port Authority Bus Terminal,Times Sq - 42 St / Port Authority Bus Terminal
N062,163,,,611,42 St-Port Authority Bus Terminal,Times Sq - 42 St / Port Authority Bus Terminal
N062A,163,,,611,42 St-Port Authority Bus Terminal,Times Sq - 42 St / Port Authority Bus Terminal
N063,163,,,611,42 St-Port Authority Bus Terminal,Times Sq - 42 St / Port Authority Bus Terminal
N063A,163,,,611,42 St-Port Authority Bus Terminal,Times Sq - 42 St / Port Authority Bus Terminal
N064,164,,,164,34 St-Penn Station,
N065,164,,,164,34 St-Penn Station,
N067,164,,,164,34 St-Penn Station,
N068,164,,,164,34 St-Penn Station,
N069,164,,,164,34 St-Penn Station,
N070,164,,,164,34 St-Penn Station,
N071,164,,,164,34 St-Penn Station,
N072,164,,,164,34 St-Penn Station,
N073,164,,,164,34 St-Penn Station,
N074,165,,,165,23 St,
N075,165,,,165,23 St,
N076,165,,,165,23 St,
N077,165,,,165,23 St,
